Color Name,Composition in %,Brand,Height in cm (PRODUCT),Length in cm  (PRODUCT),Width/Dia in cm  (PRODUCT),Weight in gram without packing  (PRODUCT),Country of Origin,Oeko-tex (Y/N),GOTS (Y/N),Gsm/m2,Made of recycled material (Y/N),FSC (Y/N),Origin Of Material (Specially by Wood),How many ML can the item contain?,Sustainability in Terms of Material (Y/N),Multipack (Y/N),Age Recommendation,Fragile (Y/N),Outdoor Use (Y/N),Handmade (Y/N),Care instructions,Maximum Load in KG,Waterproof (Y/N),Frostsafe (Y/N),Suitable for dishwasher (Y/N),Suitable for oven (Y/N),Suitable for microwave (Y/N),Suitable for wetrooms (Y/N),Kelvin,Lumen,Lifetime (LED),Max watt,Length of cord,Rechargable,Dimmerable,LED,Shelf life unopend in months,Shelf life opend in months,Perfume (Y/N),Perfume in %,Type of perfume (Natural / Synthetic),Declarational perfumes,PH value,VOC in %,BSE Free,List the preservatives used in the product,Contains palm oil (Y/N),Palm oil in %,Contains RSPO Certified palm oil (Y/N),Cold sensitive (Y/N),Cold sensitive minimum °C,Heat sensitive (Y/N),Heat sensitive maximum °C,Burning time in hours
Nature,Oak / Oak Veneer,OYOY LIVING,"4,5",29,29,530,China,,,,N,N,USA,,Y,N,3+,N,N,,Wipe with a dry cloth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nature,100% Rattan,OYOY MINI,45,72,40,900,Indonesia,,,,,,,,,,,,,Y,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nature,100% Rattan,OYOY MINI,100,80,36,2430,Indonesia,,,,,,,,,,,,,Y,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nature,100% Rattan,OYOY MINI,54,"30,5",36,1260,Indonesia,,,,,,,,,,,,,Y,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nature,100% Rattan,OYOY MINI,55,60,33,2110,Indonesia,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nature,100% Rattan / 100% MDF,OYOY MINI,47,70,48,3630,Indonesia,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green / Rose,80% Wool - 20% Cotton,OYOY MINI,2,150,88,4700,India,N,N,,N,N,,,N,N,0+,N,N,,Spot clean only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caramel / Optic Blue,80% Wool - 20% Cotton,OYOY MINI,2,150,88,4700,India,N,N,,N,N,,,N,N,0+,N,N,,Spot clean only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mellow,100% Plastic,OYOY MINI,14,19,16,135,China,,,,,,,,,,3+,,,N,Wipe with a damp cloth,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coral,100% Plastic,OYOY MINI,14,19,16,135,China,,,,,,,,,,3+,,,N,Wipe with a damp cloth,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multi,100% Cardboard,OYOY MINI,14,31,22,918,China,N,N,,,Y,,,,,,N,N,Y,Wipe with a dry cloth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olive,"75% Polyester, 17% Cotton, 4% Polyamide, 4% Viscose, PE Coating",OYOY LIVING,54,52,52,810,China,,N,,N,,,,,,,N,N,Y,Wipe with a damp cloth,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Optic Blue,"75% Polyester, 17% Cotton, 4% Polyamide, 4% Viscose, PE Coating",OYOY LIVING,54,52,52,810,China,,N,,N,,,,,,,N,N,Y,Wipe with a damp cloth,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brushed Steel,100% Stainless Steel,OYOY LIVING,2,14,3,96,China,,,,,,,,,,,N,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brushed Steel,100% Stainless Steel,OYOY LIVING,2,20,4,252,China,,,,,,,,,,,N,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brushed Steel,100% Stainless Steel,OYOY LIVING,2,20,2,188,China,,,,,,,,,,,N,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brushed Steel,100% Stainless Steel,OYOY LIVING,"0,5",21,2,184,China,,,,,,,,,,,N,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Choko,100% Marble,OYOY LIVING,3,30,14,2000,Vietnam,,,,N,,Vietnam,,,,,Y,,Y,,,Y,Y,N,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
Clear,100% Glass,OYOY LIVING,17,10,10,550,China,,,,N,,,900,,,,Y,,Y,,,Y,N,Y,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
Clear,100% Glass,OYOY LIVING,17,"7,5","7,5",430,China,,,,N,,,440,,,,Y,,Y,,,Y,N,Y,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
Green,100% Glass,OYOY LIVING,"7,5","8,5","8,5",1160,China,,,,N,,,220,,,,Y,,Y,,,Y,N,Y,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
Clear,100% Glass,OYOY LIVING,"7,5","8,5","8,5",1160,China,,,,N,,,220,,,,Y,,Y,,,Y,N,Y,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
Green,100% Glass,OYOY LIVING,"13,5","7,5","7,5",1160,China,,,,N,,,330,,,,Y,,Y,,,Y,N,Y,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
Clear,100% Glass,OYOY LIVING,"13,5","7,5","7,5",1160,China,,,,N,,,330,,,,Y,,Y,,,Y,N,Y,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
Green,100% Glass,OYOY LIVING,8,14,14,480,China,,,,N,,,470,,,,Y,,Y,,,Y,N,Y,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
Clear,100% Glass,OYOY LIVING,8,14,14,480,China,,,,N,,,470,,,,Y,,Y,,,Y,N,Y,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
Offwhite,100% Oeko-Tex Cotton,OYOY LIVING,"0,5",260,140,840,India,Y,Y,,,,,,,,,,,,40 Degree Machine Wash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay,100% Oeko-Tex Cotton,OYOY LIVING,"0,1",140,260,820,India,Y,Y,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay,100% Oeko-Tex Cotton,OYOY LIVING,"0,1",45,45,230,India,Y,Y,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cherry Red,100% Stoneware,OYOY LIVING,19,"15,5","15,5",800,Vietnam,,,,,,,,,,,Y,,,,,Y,,Y,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green,100% Stoneware,OYOY LIVING,4,21,37,900,Vietnam,,,,,,,,,,,Y,,,,,Y,,Y,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cherry Red,100% Stoneware,OYOY LIVING,4,21,37,900,Vietnam,,,,,,,,,,,Y,,,,,Y,,Y,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multi,100% Glass,OYOY LIVING,7,7,7,22,China,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multi,100% Glass,OYOY LIVING,7,7,7,22,China,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multi,100% Glass,OYOY LIVING,7,7,7,22,China,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red / White,100% Craft Paper,OYOY LIVING,8,8,"8,5",66,India,,,,,Y,Brazil / Finland,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nutmeg / Green / Blue,100% Craft Paper,OYOY LIVING,8,8,"8,5",75,India,,,,,Y,Brazil / Finland,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multi,"75% Polyester, 17% Cotton, 4% Polyamide, 4% Viscose, PE Coating",OYOY LIVING,36,32,32,185,China,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,100% Cardboard,OYOY LIVING,13,44,32,1160,China,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gunmetal,100% Steel,OYOY LIVING,"5,5","25,5","25,5",800,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green,100% Stoneware,OYOY LIVING,10,"12,5","12,5",400,Vietnam,,,,,,,,,,,Y,,,,,Y,,Y,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green,100% Stoneware,OYOY LIVING,13,15,15,600,Vietnam,,,,,,,,,,,Y,,,,,Y,,Y,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cherry Red,100% Stoneware,OYOY LIVING,10,"12,5","15,5",400,Vietnam,,,,,,,,,,,Y,,,,,Y,,Y,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cherry Red,100% Stoneware,OYOY LIVING,13,15,15,600,Vietnam,,,,,,,,,,,Y,,,,,Y,,Y,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olive / Clay,100% Eva Foam,OYOY MINI,28,28,28,1300,China,N,,,N,,,,,,3+,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay / Offwhite,80% Wool - 20% Cotton,OYOY MINI,2,112,100,3900,India,N,N,"3,15",N,N,,,,N,0+,N,N,Y,Spot clean only,,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,
Multi,80% Wool - 20% Cotton,OYOY MINI,2,112,100,3900,India,N,N,"3,15",N,N,,,,N,0+,N,N,Y,Spot clean only,,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,
Nature,Birch Veneer Plywood,OYOY MINI,"10,5",60,"7,5",550,China,N,N,,N,N,,,,N,6+,Y,N,,Fragile,10,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nature,100% Oak,OYOY MINI,18,36,24,4500,Lithuania,N,N,,N,N,Lithuania,N,,N,,N,N,N,Y,30,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,
Rose,100% Rubber,OYOY MINI,14,"11,5","4,5",50,China,N,,,N,Y,,,,0M+,N,Y,Y,,,,,N,N,N,,,,,,,,,,Paper,,,,,,,,,,,,,,,,,,
Multi,"100% Cotton, 100% Recycled Polyester Filling",OYOY MINI,28,18,8,100,India,N,N,,N,N,,,,N,3+,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,
Brown,"100% Cotton, 100% Recycled Polyester Filling",OYOY MINI,3,28,10,50,India,N,N,,N,N,,,,N,3+,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,
Off White / Melange,"100% Cotton, 100% Recycled Polyester Filling",OYOY MINI,3,28,10,50,India,N,N,,N,N,,,,N,3+,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,
Taupe,PLA,OYOY MINI,"0,5","13,5","2,8",50,China,,,,N,,,,Y,Y,3+,N,Y,,Dishwasher proff under 60 degress,,Y,N,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ice Blue,PLA,OYOY MINI,"0,5","13,5","2,8",50,China,,,,N,,,,Y,Y,3+,N,Y,,Dishwasher proff under 60 degress,,Y,N,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rose,PLA,OYOY MINI,"0,5","13,5","2,8",50,China,,,,N,,,,Y,Y,3+,N,Y,,Dishwasher proff under 60 degress,,Y,N,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nature,Birch Veneer Plywood,OYOY MINI,12,60,"7,5",550,China,N,N,,N,N,,,,N,6+,Y,N,,Fragile,10,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offwhite,100% Silicone,OYOY MINI,"0,15",64,44,400,China,,,,N,N,,,,N,24M+,N,Y,,,,Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue,100% Organic Cotton,OYOY MINI,1,56,44,100,India,Y,Y,200,Y,N,,,Y,Y,,N,N,,,,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multi,"100% Cotton, 100% Recycled Polyester Filling",OYOY MINI,8,20,12,110,India,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beige,100% Cardboard,OYOY MINI,9,"25,5",18,320,China,N,N,,N,N,Y,,,N,3+,N,N,,N,,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay,100% Cardboard,OYOY MINI,9,"25,5",18,320,China,N,N,,N,N,Y,,,N,3+,N,N,,N,,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rose / Apricot,PLA,OYOY MINI,5,20,20,250,China,,,,N,,,,Y,Y,12M+,N,Y,,Dishwasher proff under 60 degress,,Y,N,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caramel / Ice Blue,PLA,OYOY MINI,5,20,20,250,China,,,,N,,,,Y,Y,12M+,N,Y,,Dishwasher proff under 60 degress,,Y,N,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay,100% PVC,OYOY MINI,26,85,85,830,China,N,N,,N,N,,,N,N,3+,N,Y,N,Only to be used in water in which the child is within its depth and under adult supervision. Never leave your child unattended. Danger of drowning,,Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butter,100% PVC,OYOY MINI,26,85,85,830,China,N,N,,N,N,,,N,N,3+,N,Y,N,Only to be used in water in which the child is within its depth and under adult supervision. Never leave your child unattended. Danger of drowning,,Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay,100% PVC,OYOY MINI,26,120,120,1045,China,N,N,,N,N,,,N,N,3+,N,Y,N,Only to be used in water in which the child is within its depth and under adult supervision. Never leave your child unattended. Danger of drowning,,Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butter,100% PVC,OYOY MINI,26,120,120,1045,China,N,N,,N,N,,,N,N,3+,N,Y,N,Only to be used in water in which the child is within its depth and under adult supervision. Never leave your child unattended. Danger of drowning,,Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay,80% Wool - 20% Cotton,OYOY MINI,1,48,48,550,India,N,N,,N,N,,,,N,,N,N,Y,,,N,N,N,N,N,N,,,,,,,,N,,,,,,,,,N,,N,,N,N,,N,,
Clay,80% Wool - 20% Cotton,OYOY MINI,2,90,70,2750,India,N,N,"3,15",N,N,,,,N,0+,N,N,N,Spot clean only,,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,
Cherry Red,100% Silicone,OYOY MINI,12,9,9,150,China,N,N,,N,N,SILICONE,250,Y,Y,3+,N,N,N,,,Y,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue / Brown,100% Organic Cotton,OYOY MINI,"0,3",20,38,40,India,No,Yes,175,No,,,,Yes,No,0+,No,No,,,,No,No,No,No,No,N,,,,,,,,,,,,,,,,,,,,,,,,,,
Natural / Caramel,100% Organic Cotton,OYOY MINI,"0,3",20,38,40,India,No,Yes,175,No,Yes,Y,,Yes,No,N,No,No,,,,No,No,No,No,No,N,,,,,,,,,,,,,,,,,,,,,,,,,,
Multi,100% Cardboard,OYOY MINI,4,"15,5","8,5",250,China,,,,,N,Y,,,,3+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caramel,Bamboo / Plastic,OYOY MINI,18,33,20,1150,China,,,,N,N,,,,N,24M+,,Y,,,150,Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olive,Bamboo / Plastic,OYOY MINI,18,33,20,1150,China,,,,N,N,,,,N,24M+,,Y,,,150,Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taupe / Vanilla,PLA,OYOY MINI,5,20,20,250,China,,,,N,,,,Y,Y,12M+,N,Y,,Dishwasher proff under 60 degress,,Y,N,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rose / Apricot,PLA,OYOY MINI,8,7,7,125,China,,,,N,,,280,Y,Y,12M+,N,Y,,Dishwasher proff under 60 degress,,Y,N,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caramel / Ice Blue,PLA,OYOY MINI,8,7,7,125,China,,,,N,,,280,Y,Y,12M+,N,Y,,Dishwasher proff under 60 degress,,Y,N,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taupe / Vanilla,PLA,OYOY MINI,8,7,7,125,China,,,,N,,,280,Y,Y,12M+,N,Y,,Dishwasher proff under 60 degress,,Y,N,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peach,100% Silicone,OYOY MINI,12,9,9,150,China,N,N,,N,N,SILICONE,250,Y,Y,3+,N,N,N,,,Y,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green,100% Silicone,OYOY MINI,12,9,9,150,China,N,N,,N,N,SILICONE,250,Y,Y,3+,N,N,N,,,Y,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dusty Blue,100% Silicone,OYOY MINI,12,9,23,150,China,N,N,,N,N,SILICONE,250,Y,Y,3+,N,N,N,,,Y,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay,Bamboo / Plastic,OYOY MINI,18,33,20,1150,China,,,,N,N,,,,N,24M+,,Y,,,150,Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricot,PLA,OYOY MINI,"0,5","13,5","2,8",50,China,,,,N,,,,Y,Y,3+,N,Y,,Dishwasher proff under 60 degress,,Y,N,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caramel,PLA,OYOY MINI,"0,5","13,5","2,8",50,China,,,,N,,,,Y,Y,3+,N,Y,,Dishwasher proff under 60 degress,,Y,N,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanilla,PLA,OYOY MINI,"0,5","13,5","2,8",50,China,,,,N,,,,Y,Y,3+,N,Y,,Dishwasher proff under 60 degress,,Y,N,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown Melange,"100% Cotton, 100% Recycled Polyester Filling",OYOY MINI,"3,5",16,12,30,India,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Off White / Melange,"100% Cotton, 100% Recycled Polyester Filling",OYOY MINI,"3,5","17,5",13,30,India,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanilla / Nutmeg,100% Eva Foam,OYOY MINI,28,28,28,1300,China,N,,,N,,,,,,3+,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caramel / Butter,100% Silicone,OYOY MINI,5,27,19,170,China,Y,,,,,,,,Y,0+,N,Y,,,,Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pale Mint / Light Rubber,100% Silicone,OYOY MINI,"1,5",8,8,85,China,,,,,,,,,0-3y,N,Y,Y,,,,Y,N,N,N,,,,,,,,,,paper+plastic,,,,,,,,,,,,,,,,,,
Cherry Red / Vanilla,100% Silicone,OYOY MINI,"1,5",8,8,85,China,,,,,,,,,0-3y,N,Y,Y,,,,Y,N,N,N,,,,,,,,,,paper+plastic,,,,,,,,,,,,,,,,,,
Lavender / Vanilla / Cherry Red / Rubber,100% Silicone,OYOY MINI,"17,5",4,4,150,China,N,N,,N,N,,,,Y,3+,N,N,,,,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
Optic Blue / Pale Green / Pale Blue / Caramel,100% Silicone,OYOY MINI,"17,5",4,4,150,China,N,N,,N,N,,,,Y,3+,N,N,,,,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
Choko,100% Marble,OYOY LIVING,"3,5",4,3,60,China,N,N,,N,,,,,,,Y,,,,5,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beige,100% Marble,OYOY LIVING,"3,5",3,"3,5",60,China,N,N,,N,,,,,,,Y,,,,5,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Choko,100% Marble,OYOY LIVING,"3,5",3,"3,5",60,China,N,N,,N,,,,,,,Y,,,,5,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beige,100% Marble,OYOY LIVING,5,5,5,320,China,N,N,,N,,,,,,,Y,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Choko,100% Marble,OYOY LIVING,5,5,5,320,China,N,N,,N,,,,,,,Y,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Choko,100% Marble,OYOY LIVING,10,5,5,660,China,N,N,,N,,,,,,,Y,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beige,100% Marble,OYOY LIVING,10,5,5,660,China,N,N,,N,,,,,,,Y,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lavender,100% Silicone,OYOY MINI,12,9,9,150,China,N,N,,N,N,SILICONE,250,Y,Y,3+,N,N,N,,,Y,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khaki / Rose,100% Organic Cotton,OYOY MINI,"0,5",65,65,150,India,Y,Y,95,N,N,,,Y,Y,,N,N,,,,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beige / Olive Green,100% Organic Cotton,OYOY MINI,"0,5",65,65,150,India,Y,Y,95,N,N,,,Y,Y,,N,N,,,,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay / Caramel,100% Organic Cotton,OYOY MINI,"0,5",65,65,150,India,Y,Y,95,N,N,,,Y,Y,,N,N,,,,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nutmeg,100% Organic Cotton,OYOY MINI,6,22,12,50,India,Y,Y,160,N,N,,,Y,Y,,N,N,,,,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Optic Blue,100% Organic Cotton,OYOY MINI,6,22,12,50,India,Y,Y,160,N,N,,,Y,Y,,N,N,,,,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bright Green,100% Organic Cotton,OYOY MINI,6,22,12,50,India,Y,Y,160,N,N,,,Y,Y,,N,N,,,,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nutmeg,100% Organic Cotton,OYOY MINI,5,70,50,150,India,Y,Y,160,N,N,,,Y,Y,,N,N,,,,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay,100% Silicone,OYOY MINI,"0,15",38,38,270,China,Y,N,,Y,,,,,N,,N,Y,N,,,Y,,Y,N,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
Dark Terracotta,100% Terracotta,OYOY MINI,9,"9,5",9,320,China,N,N,,N,Y,,400,,Y,6+,Y,Y,Y,Fragile,,Y,Y,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reactive Olive,100% Stoneware,OYOY MINI,9,"9,5",9,320,China,N,N,,N,Y,,400,,Y,6+,Y,Y,Y,Fragile,,Y,Y,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offwhite,100% Stoneware,OYOY MINI,9,13,"9,6",330,China,N,N,,N,Y,,400,,Y,6+,Y,Y,Y,Fragile,,Y,Y,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stone,100% Stoneware,OYOY MINI,9,13,"9,6",330,China,N,N,,N,Y,,400,,Y,6+,Y,Y,Y,Fragile,,Y,Y,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offwhite / Peach,"100% Cotton, 100% Recycled Polyester Filling",OYOY MINI,25,24,13,225,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offwhite / Light Mint,"100% Cotton, 100% Recycled Polyester Filling",OYOY MINI,31,31,16,330,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offwhite / Garden Green,100% Recycled Polyester,OYOY LIVING,"8,5",42,42,460,India,N,N,230,Y,,,,Y,,,N,Y,Y,Machine washable (Only Cover),,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay,100% Organic Cotton,OYOY LIVING,"0,5",58,60,110,India,Y,Y,180,N,N,,,Y,N,,N,N,,,,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay,100% Organic Cotton,OYOY LIVING,"0,5",48,48,110,India,Y,Y,180,N,N,,,Y,N,,N,N,,,,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay,100% Organic Cotton,OYOY LIVING,"0,5",260,140,750,India,Y,Y,180,Y,N,,,Y,N,,N,N,,,,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay,100% Organic Cotton,OYOY LIVING,"0,5",200,140,675,India,Y,Y,180,Y,N,,,Y,N,,N,N,,,,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay,100% Organic Cotton,OYOY LIVING,"0,5",45,45,200,India,Y,Y,180,Y,N,,,Y,N,,N,N,,,,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jade,100% Glass,OYOY LIVING,23,"19,5","19,5",1900,China,N,N,,N,N,China,,,N,N,N,N,N,,,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green,100% Organic Cotton,OYOY LIVING,"0,5",70,50,220,India,Y,Y,225,Y,N,,,Y,N,,N,N,,,,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caramel,100% Organic Cotton,OYOY LIVING,"0,5",70,50,220,India,Y,Y,225,Y,N,,,Y,N,,N,N,,,,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jade,100% Glass,OYOY LIVING,30,"25,5","25,5",3200,China,N,N,,N,N,China,,,N,N,N,N,N,,,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cherry Red,100% Silicone,OYOY LIVING,"1,2",15,15,234,China,N,N,,N,N,,,,N,,N,N,N,,,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
Ice Blue,100% Silicone,OYOY LIVING,"1,2",15,15,250,China,N,N,,N,N,,,,N,,N,N,N,,,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
Optic Blue,100% Organic Cotton,OYOY MINI,5,70,50,150,India,Y,Y,160,N,N,,,Y,Y,,N,N,,,,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bright Green,100% Organic Cotton,OYOY MINI,5,70,50,150,India,Y,Y,160,N,N,,,Y,Y,,N,N,,,,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minty / Camel,100% Silicone,OYOY MINI,5,27,19,170,China,Y,,,,,,,,Y,0+,N,Y,,,,Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
